Student_ID,Name,Email,Target,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Unemployment rate,Inflation rate,GDP,Performance_Ratio_avg,GPA_avg_scaled,Health_Risk_Proxy,Stress_Level_Proxy,Study_Hours_Proxy,Sleep_Quality_Proxy,Mental_Depression,Mental_Anxiety,Social_Media_Hours,Transport_User,Avg_Attendance,Teacher_Consultancy,StudentWorker,Living_With_Family
10000,Olivia Jackson,olivia.jackson@university.edu,Dropout,17,5,171,122,19,12,5,9,127.3,0,1,1,0,20,10.8,1.4,1.74,0,0,3,5.14,25.71,1,0,0,7,0,100,0,1,1
10001,Ava Brown,ava.brown@studentmail.com,Graduate,15,1,9254,160,1,3,3,3,142.5,0,0,1,0,19,13.9,-0.3,0.79,1,2.77,1,2.69,38.17,3,0,0,1,0,100,1,0,0
10002,Noah Martin,noah.martin@studentmail.com,Dropout,1,5,9070,122,37,37,9,9,124.8,0,0,1,0,19,10.8,1.4,1.74,0,0,3,2.2,14.58,1,1,0,8,0,100,0,1,1
10003,James Taylor,james.taylor@studentmail.com,Graduate,17,2,9773,122,38,37,5,3,119.6,0,1,0,0,20,9.4,-0.8,-3.12,0.92,2.58,2,5.36,27.04,1,1,1,5,1,90,0,0,1
10004,James Jackson,james.jackson@college.org,Graduate,39,1,8014,100,37,38,9,9,141.5,0,1,0,0,45,13.9,-0.3,0.79,0.92,2.53,2,6.13,18.42,3,1,1,2,1,100,0,0,1
10005,Ethan White,ethan.white@university.edu,Graduate,39,1,9991,133.1,37,37,9,7,114.8,1,1,1,0,50,16.2,0.3,-0.92,1,2.34,1,2.11,27.79,1,0,0,1,0,100,1,1,0
10006,Emma Thomas,emma.thomas@studentmail.com,Graduate,1,1,9500,142,19,38,7,10,128.4,0,1,0,1,18,15.5,2.8,-4.06,1,2.76,3,9.62,40.91,2,0,0,4,1,95,1,0,0
10007,Emma Taylor,emma.taylor@college.org,Dropout,18,4,9254,119,37,37,9,9,113.1,0,0,1,0,22,15.5,2.8,-4.06,0,0,2,7.06,39.98,1,0,0,6,0,80,1,0,1
10008,Lucas Taylor,lucas.taylor@university.edu,Graduate,1,3,9238,137,1,1,9,9,129.3,0,1,0,1,21,16.2,0.3,-0.92,1,2.8,2,5.73,29.73,3,0,0,1,1,95,1,0,0
10009,Isabella Martin,isabella.martin@studentmail.com,Dropout,1,1,9238,138,1,19,4,7,123,1,0,0,0,18,8.9,1.4,3.51,0.58,2.49,3,8.77,58.92,1,1,0,4,0,100,0,1,1
10010,Olivia Martin,olivia.martin@college.org,Graduate,1,1,9670,139,38,19,5,7,130.6,0,1,0,0,18,13.9,-0.3,0.79,0.92,2.65,2,8.35,30.69,2,1,1,1,1,90,0,0,1
10011,Liam Martin,liam.martin@college.org,Graduate,1,1,9500,136,19,38,9,9,119.3,0,1,0,1,18,12.7,3.7,-1.7,0.88,2.64,2,4.77,29.63,3,0,0,2,1,85,1,1,0
10012,Ethan Brown,ethan.brown@college.org,Dropout,1,2,9853,133,19,37,4,9,130.2,0,1,0,0,19,12.7,3.7,-1.7,0,0,2,3.54,29.49,2,1,1,1,1,70,0,1,1
10013,Ava Martin,ava.martin@university.edu,Graduate,53,1,9254,110,1,1,4,7,111.8,0,1,0,1,21,8.9,1.4,3.51,0.92,2.16,2,8.64,31.08,3,0,1,2,1,99,1,0,0
10014,Ethan Brown,ethan.brown@university.edu,Graduate,1,1,9085,149,38,37,5,5,137.1,0,1,0,1,18,10.8,1.4,1.74,0.9,2.52,2,5.64,28.13,2,0,1,4,1,85,1,0,0
10015,Lucas Smith,lucas.smith@university.edu,Dropout,1,1,9773,127,19,37,9,3,120.7,0,1,0,0,20,15.5,2.8,-4.06,0.42,1.32,2,5.54,19.87,3,1,1,3,1,98,0,0,1
10016,Sophia Harris,sophia.harris@university.edu,Enrolled,18,1,9238,137,19,38,5,8,137.4,0,1,0,0,18,10.8,1.4,1.74,0.25,2.3,2,2.5,29.39,3,1,1,4,1,70,0,0,1
10017,Lucas Taylor,lucas.taylor@studentmail.com,Graduate,17,2,9500,135,19,1,5,4,127.3,0,1,0,0,18,15.5,2.8,-4.06,1,2.79,2,1.51,54.33,3,1,1,1,1,100,0,0,1
10018,Isabella Harris,isabella.harris@university.edu,Graduate,1,1,9130,137,3,19,3,5,136.3,0,1,0,0,20,10.8,1.4,1.74,0.8,2.48,2,3.95,29.11,1,1,1,3,1,70,0,0,1
10019,James Johnson,james.johnson@studentmail.com,Enrolled,1,1,9853,140,19,19,7,7,124.6,0,1,0,0,18,16.2,0.3,-0.92,0.86,2.52,2,6.15,27,3,1,1,7,1,80,0,0,1
10020,Olivia Thomas,olivia.thomas@university.edu,Enrolled,18,4,9556,127,1,38,4,7,121.8,0,1,0,0,20,12.7,3.7,-1.7,1,2.29,2,6.02,23.12,3,1,1,6,1,90,0,0,1
10021,Noah Martin,noah.martin@college.org,Graduate,1,4,9500,142,19,19,1,1,125.5,0,1,0,0,18,12.7,3.7,-1.7,0.88,2.57,1,2.82,13.64,1,1,1,2,1,78,0,0,1
10022,Ethan Jackson,ethan.jackson@university.edu,Graduate,1,4,9670,125,1,38,4,7,114.9,0,1,0,1,19,11.1,0.6,2.02,1,2.57,2,8.67,26.83,3,1,0,1,1,100,1,0,0
10023,Isabella Johnson,isabella.johnson@studentmail.com,Graduate,1,1,9500,126,19,19,3,7,123.9,0,1,0,0,19,11.1,0.6,2.02,0.87,2.74,2,9.02,54.06,2,1,1,4,1,98,0,0,1
10024,Emma Jackson,emma.jackson@studentmail.com,Enrolled,1,1,9238,151,19,38,9,9,157,1,1,0,1,18,7.6,2.6,0.32,0.75,2.26,2,8.3,24.42,3,0,0,3,1,90,1,0,0
10025,Ethan Thomas,ethan.thomas@college.org,Graduate,17,2,9238,115,19,38,7,8,116.4,0,1,0,0,21,16.2,0.3,-0.92,1,2.47,2,4.19,32.36,3,1,1,5,1,100,0,1,1
10026,Emma Smith,emma.smith@college.org,Enrolled,1,1,9085,138,19,19,3,3,131,0,1,0,0,18,9.4,-0.8,-3.12,0.9,2.57,3,3.51,35.86,3,1,1,2,1,80,0,0,1
10027,James Jackson,james.jackson@studentmail.com,Graduate,1,1,9147,135,19,1,9,9,122.1,0,1,0,0,20,16.2,0.3,-0.92,1,2.43,2,2.29,35.06,3,1,1,3,1,97,0,0,1
10028,Noah Smith,noah.smith@university.edu,Enrolled,17,2,9500,127,3,3,1,10,118.8,0,1,1,0,19,16.2,0.3,-0.92,0.86,2.66,1,1.08,22.22,3,0,0,1,0,99,0,1,0
10029,Olivia Thomas,olivia.thomas@studentmail.com,Enrolled,44,1,9003,150,4,5,4,2,150,0,1,1,0,21,16.2,0.3,-0.92,0.83,2.24,1,3.05,27.91,2,0,1,4,0,99,1,1,0
10030,Isabella Thomas,isabella.thomas@studentmail.com,Graduate,51,1,9070,125,42,3,125,124,130,0,1,1,0,20,8.9,1.4,3.51,0.83,2.62,1,1.82,25.09,3,1,1,4,0,100,1,1,0
10031,Noah Jackson,noah.jackson@studentmail.com,Enrolled,1,1,9147,143,1,1,4,6,138.8,0,0,1,0,18,8.9,1.4,3.51,0.5,2.48,3,2.07,20.92,1,1,0,7,0,90,1,1,1
10032,James Smith,james.smith@university.edu,Graduate,18,1,8014,138,19,1,9,5,134.5,0,1,0,0,19,12.4,0.5,1.79,1,2.7,1,5.27,30.55,1,1,1,2,1,98,0,0,1
10033,Liam Johnson,liam.johnson@studentmail.com,Graduate,1,1,9991,130,2,37,3,9,131.4,0,1,1,0,34,13.9,-0.3,0.79,1,2.58,1,2.84,35.97,1,0,0,2,0,90,1,0,0
10034,Liam Taylor,liam.taylor@university.edu,Dropout,39,1,33,130,38,37,9,6,102.5,1,0,1,0,37,8.9,1.4,3.51,0.07,1,2,6.61,24.09,1,0,0,10,0,100,0,0,1
